StGallenCells
10 topics
100 iterations




TOPIC:
unknown	0.21165353339543475
olympias	0.09972367251397987
olymp	0.08250033649839575
annis	0.04680580921467529
macedonum	0.021260023264335987
medorum	0.019943205397487757
medo	0.018232304898172246
lydorum	0.013391791755823224
lydo	0.01011791367875191
anis	0.009129744390929104

TOPIC:
iudeorum	0.020212943751002063
filius	0.019887683747674002
post	0.011908922489755423
iudea	0.011822256866131087
olyp	0.01140010067970935
anthiocus	0.010335708856633454
anthioc	0.010335696974242322
iudeo	0.010198404036939519
iudeam	0.01014204857635577
fili	0.009671886275594954

TOPIC:
egyptio	0.013729546701029025
egyptiorum	0.013441683891849422
unknown	0.012816553119823626
ȼalexander	0.007722038788290028
iudeae	0.006855680628456913
contra	0.006507449232666389
ptolomeum	0.005076610141218173
seleucus	0.0042419950156525575
ȼanni	0.004196508377371393
duce	0.004054066064957286

TOPIC:
anno	0.021151498833248596
usque	0.020505528509448857
quod	0.01562184024684679
quae	0.01418010369557845
apud	0.013183728477641734
sunt	0.011453430997682238
regis	0.011228477904014307
secundum	0.01077578866951039
rege	0.010245118447639416
iudeorum	0.009727902347114027

TOPIC:
iiii	0.18661559640357625
milia	0.11104784552622851
unknown	0.02167061823927093
hebreorum	0.013017764652551287
hebreo	0.011196932480985524
macedonum	0.008871550583772701
annis	0.008652130081151718
olympias	0.008172141004241983
mundi	0.00789797848532565
olymp	0.0070499530933333995

TOPIC:
urbe	0.01246077862064676
condita	0.012073566292810185
ȼromani	0.011460197748860774
bellum	0.009571584694331753
primus	0.008951198719143965
apud	0.008638274334579832
romulus	0.008557672114359307
bellu	0.008240121538835512
urbis	0.008005331880855953
dita	0.007912081643180248

TOPIC:
romanorum	0.035368419026691675
romano	0.03243918099892801
primus	0.012561162204619027
sicilia	0.009010789596798399
tarquinus	0.006793958769348026
imperium	0.0065899610683379205
unknown	0.00601552853287531
urbes	0.005732567449907752
frater	0.005254868919421292
hostilius	0.004873553412916366

TOPIC:
unknown	0.03603179070336236
annis	0.028636738817643198
clarus	0.019950568687350862
habetur	0.017245181237323395
quem	0.012852388836346857
macedonum	0.010610463364102271
filius	0.010313854066471688
anis	0.009519483223956259
egyptiorum	0.009277593396196637
scriptor	0.008907817993071061

TOPIC:
unknown	0.1599623279448349
olympias	0.10090626121723692
olymp	0.09269857928706746
annis	0.03136117800503548
macedonum	0.014611500577140033
maced	0.007057845584289538
anis	0.005909423652481624
romanorum	0.0043494425545016185
romano	0.004263235628752548
olyp	0.004180446487579108

TOPIC:
annis	0.04601636079359452
agnoscitur	0.01814382811654464
anis	0.017267550181943505
agnoscit	0.014736453229805909
ȼpost	0.012321001949201226
hebreo	0.012269412585912694
hebreorum	0.011443546489296335
poeta	0.010839608077081207
egyptiorum	0.010197503274215237
unknown	0.009970198505602752
